Date,Pic journalier consommation (MW),Température moyenne (°C),Température référence (°C),Consommation à température normale (MW),Consommation Brut (MW),IsHoliday,Year,Month,Day,Weekday,WeekOfYear,DayOfWeek,IsWeekend,Weekday Name,Consommation_Diff
2020-01-02,72399,6.1,4.6,66879,71354.5,0,2020,1,2,3,1,3,0,Thursday,7889.0
2020-01-03,69650,8.3,4.6,68430,70778.5,0,2020,1,3,4,1,4,0,Friday,-576.0
2020-01-04,67013,6.7,4.6,66059,47554.5,0,2020,1,4,5,1,5,1,Saturday,-23224.0
2020-01-05,68154,5.8,4.6,64850,47554.5,0,2020,1,5,6,1,6,1,Sunday,0.0
2020-01-06,78199,4.3,4.6,71935,68902.5,0,2020,1,6,0,2,0,0,Monday,21348.0
2020-01-07,75395,7.5,4.6,72718,64999.5,0,2020,1,7,1,2,1,0,Tuesday,-3903.0
2020-01-08,72099,9.4,4.7,73053,63585.0,0,2020,1,8,2,2,2,0,Wednesday,-1414.5
2020-01-09,70986,9.9,4.7,72734,71351.5,0,2020,1,9,3,2,3,0,Thursday,7766.5
2020-01-10,71833,8.0,4.7,72786,70749.0,0,2020,1,10,4,2,4,0,Friday,-602.5
2020-01-11,67959,5.8,4.7,67362,69331.0,0,2020,1,11,5,2,5,1,Saturday,-1418.0
2020-01-12,67520,5.8,4.7,65220,68413.0,0,2020,1,12,6,2,6,1,Sunday,-918.0
2020-01-13,76154,6.9,4.8,72106,68803.5,0,2020,1,13,0,3,0,0,Monday,390.5
2020-01-14,74060,9.2,4.8,74053,64878.5,0,2020,1,14,1,3,1,0,Tuesday,-3925.0
2020-01-15,73362,9.5,4.8,74585,63444.5,0,2020,1,15,2,3,2,0,Wednesday,-1434.0
2020-01-16,73103,8.7,4.9,73792,70221.5,0,2020,1,16,3,3,3,0,Thursday,6777.0
2020-01-17,72341,8.3,4.9,72633,70891.5,0,2020,1,17,4,3,4,0,Friday,670.0
2020-01-18,68537,5.2,4.9,67709,70291.5,0,2020,1,18,5,3,5,1,Saturday,-600.0
2020-01-19,71500,4.0,5.0,65590,69329.5,0,2020,1,19,6,3,6,1,Sunday,-962.0
2020-01-20,82131,3.7,5.0,73436,68844.5,0,2020,1,20,0,4,0,0,Monday,-485.0
2020-01-21,83103,3.4,5.1,74211,65436.5,0,2020,1,21,1,4,1,0,Tuesday,-3408.0
2020-01-22,83469,3.2,5.1,73909,64957.0,0,2020,1,22,2,4,2,0,Wednesday,-479.5
2020-01-23,82903,3.8,5.2,73433,73879.0,0,2020,1,23,3,4,3,0,Thursday,8922.0
