Date;Filière;Valeur (GW)
01/01/2019;Enveloppe basse 2014 - 2019;53,90419485
02/01/2019;Enveloppe basse 2014 - 2019;64,63343265
03/01/2019;Enveloppe basse 2014 - 2019;64,12361827
04/01/2019;Enveloppe basse 2014 - 2019;63,32177608
05/01/2019;Enveloppe basse 2014 - 2019;67,94584104
06/01/2019;Enveloppe basse 2014 - 2019;65,95330298
07/01/2019;Enveloppe basse 2014 - 2019;57,91712235
08/01/2019;Enveloppe basse 2014 - 2019;57,82814744
09/01/2019;Enveloppe basse 2014 - 2019;64,63343265
10/01/2019;Enveloppe basse 2014 - 2019;64,12361827
11/01/2019;Enveloppe basse 2014 - 2019;63,32177608
12/01/2019;Enveloppe basse 2014 - 2019;64,47156288
13/01/2019;Enveloppe basse 2014 - 2019;65,95330298
14/01/2019;Enveloppe basse 2014 - 2019;57,91712235
15/01/2019;Enveloppe basse 2014 - 2019;57,82814744
16/01/2019;Enveloppe basse 2014 - 2019;66,71810025
17/01/2019;Enveloppe basse 2014 - 2019;68,48953094
18/01/2019;Enveloppe basse 2014 - 2019;68,68959267
19/01/2019;Enveloppe basse 2014 - 2019;68,77186473
20/01/2019;Enveloppe basse 2014 - 2019;67,62024963
21/01/2019;Enveloppe basse 2014 - 2019;62,0530689
22/01/2019;Enveloppe basse 2014 - 2019;59,20117938
23/01/2019;Enveloppe basse 2014 - 2019;64,38214883
24/01/2019;Enveloppe basse 2014 - 2019;65,44596852
25/01/2019;Enveloppe basse 2014 - 2019;63,96883179
26/01/2019;Enveloppe basse 2014 - 2019;65,53633681
27/01/2019;Enveloppe basse 2014 - 2019;66,78004469
28/01/2019;Enveloppe basse 2014 - 2019;61,36762892
29/01/2019;Enveloppe basse 2014 - 2019;56,68835429
30/01/2019;Enveloppe basse 2014 - 2019;62,04919638
31/01/2019;Enveloppe basse 2014 - 2019;63,27965354
01/02/2019;Enveloppe basse 2014 - 2019;66,41074456
02/02/2019;Enveloppe basse 2014 - 2019;66,15821706
03/02/2019;Enveloppe basse 2014 - 2019;65,23793544
04/02/2019;Enveloppe basse 2014 - 2019;58,64561592
05/02/2019;Enveloppe basse 2014 - 2019;56,79499956
06/02/2019;Enveloppe basse 2014 - 2019;65,23626248
07/02/2019;Enveloppe basse 2014 - 2019;67,45461183
08/02/2019;Enveloppe basse 2014 - 2019;70,43938944
09/02/2019;Enveloppe basse 2014 - 2019;70,65245606
10/02/2019;Enveloppe basse 2014 - 2019;67,37042617
11/02/2019;Enveloppe basse 2014 - 2019;62,79395571
12/02/2019;Enveloppe basse 2014 - 2019;59,39694679
13/02/2019;Enveloppe basse 2014 - 2019;68,43174169
14/02/2019;Enveloppe basse 2014 - 2019;67,09861677
15/02/2019;Enveloppe basse 2014 - 2019;64,15870669
16/02/2019;Enveloppe basse 2014 - 2019;63,888312
17/02/2019;Enveloppe basse 2014 - 2019;63,89170425
18/02/2019;Enveloppe basse 2014 - 2019;59,34112302
19/02/2019;Enveloppe basse 2014 - 2019;56,32342
20/02/2019;Enveloppe basse 2014 - 2019;63,39943342
21/02/2019;Enveloppe basse 2014 - 2019;62,99031746
22/02/2019;Enveloppe basse 2014 - 2019;62,61024502
23/02/2019;Enveloppe basse 2014 - 2019;63,33901633
24/02/2019;Enveloppe basse 2014 - 2019;62,37112452
25/02/2019;Enveloppe basse 2014 - 2019;55,3533861
26/02/2019;Enveloppe basse 2014 - 2019;53,95871979
27/02/2019;Enveloppe basse 2014 - 2019;60,75152071
28/02/2019;Enveloppe basse 2014 - 2019;60,37740246
01/03/2019;Enveloppe basse 2014 - 2019;59,0251441
02/03/2019;Enveloppe basse 2014 - 2019;59,23787752
03/03/2019;Enveloppe basse 2014 - 2019;59,95079513
04/03/2019;Enveloppe basse 2014 - 2019;54,94812304
05/03/2019;Enveloppe basse 2014 - 2019;52,31444575
06/03/2019;Enveloppe basse 2014 - 2019;60,75388485
07/03/2019;Enveloppe basse 2014 - 2019;62,2334844
08/03/2019;Enveloppe basse 2014 - 2019;61,99990069
09/03/2019;Enveloppe basse 2014 - 2019;61,21220985
10/03/2019;Enveloppe basse 2014 - 2019;58,75476923
11/03/2019;Enveloppe basse 2014 - 2019;52,27927788
12/03/2019;Enveloppe basse 2014 - 2019;49,75397817
13/03/2019;Enveloppe basse 2014 - 2019;57,12018908
14/03/2019;Enveloppe basse 2014 - 2019;58,68082373
15/03/2019;Enveloppe basse 2014 - 2019;57,87109208
16/03/2019;Enveloppe basse 2014 - 2019;56,55374527
17/03/2019;Enveloppe basse 2014 - 2019;55,85848085
18/03/2019;Enveloppe basse 2014 - 2019;52,34008952
19/03/2019;Enveloppe basse 2014 - 2019;48,47155096
20/03/2019;Enveloppe basse 2014 - 2019;56,26935738
21/03/2019;Enveloppe basse 2014 - 2019;58,16626265
22/03/2019;Enveloppe basse 2014 - 2019;57,12316477
23/03/2019;Enveloppe basse 2014 - 2019;56,1370535
24/03/2019;Enveloppe basse 2014 - 2019;55,51029885
25/03/2019;Enveloppe basse 2014 - 2019;51,66944167
26/03/2019;Enveloppe basse 2014 - 2019;49,0744045
27/03/2019;Enveloppe basse 2014 - 2019;54,63947146
28/03/2019;Enveloppe basse 2014 - 2019;54,06758169
29/03/2019;Enveloppe basse 2014 - 2019;53,18852658
30/03/2019;Enveloppe basse 2014 - 2019;51,77628925
31/03/2019;Enveloppe basse 2014 - 2019;50,50208917
01/04/2019;Enveloppe basse 2014 - 2019;47,21265979
02/04/2019;Enveloppe basse 2014 - 2019;45,93571988
03/04/2019;Enveloppe basse 2014 - 2019;52,16420267
04/04/2019;Enveloppe basse 2014 - 2019;52,64479719
05/04/2019;Enveloppe basse 2014 - 2019;53,09211754
06/04/2019;Enveloppe basse 2014 - 2019;54,04541523
07/04/2019;Enveloppe basse 2014 - 2019;53,21128556
08/04/2019;Enveloppe basse 2014 - 2019;45,86190117
09/04/2019;Enveloppe basse 2014 - 2019;41,86699404
10/04/2019;Enveloppe basse 2014 - 2019;41,39260944
11/04/2019;Enveloppe basse 2014 - 2019;50,54100288
12/04/2019;Enveloppe basse 2014 - 2019;51,22825319
13/04/2019;Enveloppe basse 2014 - 2019;51,31755288
14/04/2019;Enveloppe basse 2014 - 2019;50,26619592
